Genus	kingdom	phylum	class	order	family	full
Desulfoprunum	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	ZLow Abundance
Gallaecimonas	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Gammaproteobacteria
Parasutterella	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae	Betaproteobacteria
Pseudorhodoferax	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Betaproteobacteria
Aquicella	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Gammaproteobacteria
Roseospira	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Acetivibrio	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Alkanibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	Gammaproteobacteria
Cryptanaerobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae_2	Firmicutes
Streptobacillus	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	ZLow Abundance
Thalassolituus	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Gammaproteobacteria
Dorea	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Mucinivorans	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Bacteroidetes
Azorhizobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Alphaproteobacteria
Dehalobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae_1	Firmicutes
Imperialibacter	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Bacteroidetes
Laceyella	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_1	Firmicutes
Saccharothrix	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Actinobacteria
Aureitalea	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Stella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Gemmiger	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Gp14	Bacteria	Acidobacteria	Acidobacteria_Gp14	Unassigned	Unassigned	Acidobacteria
Gp21	Bacteria	Acidobacteria	Acidobacteria_Gp21	Unassigned	Unassigned	Acidobacteria
Aestuariimicrobium	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Propionibacteriaceae	Actinobacteria
Hydrobacter	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Bacteroidetes
Dendrosporobacter	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Caldanaerobius	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Firmicutes
Spirochaeta	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	ZLow Abundance
Propionigenium	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	ZLow Abundance
Stackebrandtia	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Glycomycetaceae	Actinobacteria
Heliimonas	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Bacteroidetes
Aliidiomarina	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Idiomarinaceae	Gammaproteobacteria
Treponema	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	ZLow Abundance
Tistrella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Longispora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Pararhodospirillum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Mangrovibacterium	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prolixibacteraceae	Bacteroidetes
Chromobacterium	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Bifidobacterium	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Actinobacteria
Anaerosalibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XI	Firmicutes
Francisella	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Gammaproteobacteria
Limimonas	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Sporichthya	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Sporichthyaceae	Actinobacteria
Belnapia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Sanguibacter	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Sanguibacteraceae	Actinobacteria
Jahnella	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	ZLow Abundance
Catalinimonas	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Catalimonadaceae	Bacteroidetes
Pseudogulbenkiania	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Bartonella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bartonellaceae	Alphaproteobacteria
Desulfobacula	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Limisphaera	Bacteria	Verrucomicrobia	Subdivision3	Unassigned	Unassigned	Verrucomicrobia
Blautia	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Sorangium	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	ZLow Abundance
Natronoflexus	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Bacteroidetes
Geobacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_1	Firmicutes
Thermomarinilinea	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ZLow Abundance
Oscillibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Acetoanaerobium	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Firmicutes
Desulfatiglans	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Nonomuraea	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Actinobacteria
Caldilinea	Bacteria	Chloroflexi	Caldilineae	Caldilineales	Caldilineaceae	ZLow Abundance
Anaerostipes	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Serinicoccus	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Actinobacteria
Perlucidibaca	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Gammaproteobacteria
Thiorhodococcus	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Gammaproteobacteria
Geminicoccus	Bacteria	Proteobacteria	Alphaproteobacteria	Alphaproteobacteria_incertae_sedis	Unassigned	Alphaproteobacteria
Vitellibacter	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Vallitalea	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Firmicutes
Agarivorans	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Gammaproteobacteria
Anaeroarcus	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Caldicellulosiruptor	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_III	Firmicutes
Candidimonas	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Betaproteobacteria
Frondibacter	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Reinekea	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Gammaproteobacteria
Terrimicrobium	Bacteria	Verrucomicrobia	Spartobacteria	Unassigned	Unassigned	Verrucomicrobia
Filomicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Alphaproteobacteria
Candidatus_Kuenenia	Bacteria	Planctomycetes	Planctomycetia	Candidatus_Brocadiales	Candidatus_Brocadiaceae	Planctomycetes
Leptonema	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Leptospiraceae	ZLow Abundance
Methyloparacoccus	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Gammaproteobacteria
Dasania	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadales_incertae_sedis	Gammaproteobacteria
Desulfatiferula	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Ornithobacterium	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Ethanoligenens	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Desulfatibacillum	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Roseivivax	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Gp11	Bacteria	Acidobacteria	Acidobacteria_Gp11	Unassigned	Unassigned	Acidobacteria
Sulfurospirillum	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	ZLow Abundance
Aggregicoccus	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	ZLow Abundance
Vitreoscilla	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Fastidiosipila	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Bdellovibrio	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bdellovibrionaceae	ZLow Abundance
Inquilinus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Oceanicaulis	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Alphaproteobacteria
Pelagibacterium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Alphaproteobacteria
Desulfosalsimonas	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Sulfuriferula	Bacteria	Proteobacteria	Betaproteobacteria	Sulfuricellales	Sulfuricellaceae	Betaproteobacteria
Luedemannella	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Porphyrobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Alphaproteobacteria
Hazenella	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_1	Firmicutes
Thermaerobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XVII	Firmicutes
Aureivirga	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Marispirillum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Kroppenstedtia	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_1	Firmicutes
Olsenella	Bacteria	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae	Actinobacteria
Andreprevotia	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Parafilimonas	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Chitinophagaceae	Bacteroidetes
Cohaesibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Cohaesibacteraceae	Alphaproteobacteria
Rhodothermus	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Rhodothermaceae	Bacteroidetes
Thermosediminibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_III	Firmicutes
Ureibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Firmicutes
Compostibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae_2	Firmicutes
Empedobacter	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Sterolibacterium	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Betaproteobacteria
Thermogemmatispora	Bacteria	Chloroflexi	Ktedonobacteria	Thermogemmatisporales	Thermogemmatisporaceae	ZLow Abundance
Propionispora	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Lentisphaera	Bacteria	Lentisphaerae	Lentisphaeria	Lentisphaerales	Lentisphaeraceae	ZLow Abundance
Mooreia	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Mooreiaceae	Bacteroidetes
Desulfatitalea	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Thermanaeromonas	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Firmicutes
Bilophila	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	ZLow Abundance
Hydrogenophilus	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	Betaproteobacteria
Glycomyces	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Glycomycetaceae	Actinobacteria
Proteocatella	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Firmicutes
Ancalomicrobium	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Alphaproteobacteria
Anaerobranca	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales_Incertae_Sedis_XIV	Firmicutes
Neochlamydia	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Parachlamydiaceae	ZLow Abundance
Desulfofaba	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	ZLow Abundance
Psychrilyobacter	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	ZLow Abundance
Oceanicella	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Thioclava	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Akkermansia	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobia
Coxiella	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Gammaproteobacteria
Lutispora	Bacteria	Firmicutes	Clostridia	Clostridiales	Gracilibacteraceae	Firmicutes
Atribacteria_genera_incertae_sedis	Bacteria	Atribacteria	Unassigned	Unassigned	Unassigned	ZLow Abundance
Bellilinea	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	ZLow Abundance
Fusicatenibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Oligoflexus	Bacteria	Proteobacteria	Oligoflexia	Oligoflexales	Oligoflexaceae	ZLow Abundance
Hyunsoonleella	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Bacteroidetes
Carboxylicivirga	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Bacteroidetes
Pseudobutyrivibrio	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Firmicutes
Tistlia	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Allocatelliglobosispora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Dysgonomonas	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroidetes
Heliorestis	Bacteria	Firmicutes	Clostridia	Clostridiales	Heliobacteriaceae	Firmicutes
Caloranaerobacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Firmicutes
Salinisphaera	Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	Salinisphaeraceae	Gammaproteobacteria
Desulfovirgula	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Firmicutes
Leminorella	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Gammaproteobacteria
Aerococcus	Bacteria	Firmicutes	Bacilli	Lactobacillales	Aerococcaceae	Firmicutes
Desulfohalobium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	ZLow Abundance
Vulcaniibacterium	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Gammaproteobacteria
Carboxydothermus	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Firmicutes
Thiodictyon	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Gammaproteobacteria
Microscilla	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Bacteroidetes
Marinicauda	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Alphaproteobacteria
Ancylobacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Alphaproteobacteria
Perspicuibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Gammaproteobacteria
Ammoniibacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Firmicutes
Megasphaera	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Firmicutes
Rhizocola	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Sphaerisporangium	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptosporangiaceae	Actinobacteria
Melghirimyces	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae_1	Firmicutes
Granulibacter	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Simplicispira	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Betaproteobacteria
Actinocatenispora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinobacteria
Sporolactobacillaceae_incertae_sedis	Bacteria	Firmicutes	Bacilli	Bacillales	Sporolactobacillaceae	Firmicutes
Odoribacter	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Bacteroidetes
Anaerotruncus	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae	Firmicutes
Uruburuella	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Betaproteobacteria
Labrys	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Alphaproteobacteria
Rubrimonas	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Alphaproteobacteria
Advenella	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Betaproteobacteria
Alistipes	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Bacteroidetes
Rubritepida	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Alphaproteobacteria
Thermolithobacter	Bacteria	Firmicutes	Thermolithobacteria	Thermolithobacterales	Thermolithobacteraceae	Firmicutes
Brassicibacter	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae_3	Firmicutes
Methylorosula	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Alphaproteobacteria
Thermoanaerobacter	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Firmicutes
Defluviicoccus	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Alphaproteobacteria
Brachybacterium	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Dermabacteraceae	Actinobacteria
Thermobacillus	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae_1	Firmicutes
Catenulispora	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Catenulisporaceae	Actinobacteria
Geoalkalibacter	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	ZLow Abundance
